tweet_1,tweet_2,Class
Se a mídia está contra a Cloroquina é porque é boa no combate ao vírus ...,Tinha que jogar cloroquina nos reservatórios de água,0
CORONAVÍRUS: Ministério da Saúde orienta uso da Cloroquina e Azitromicina para tratamento de pacientes com a Covid-19 no Brasil -  via,KKKKK CHEIRADOR D PO FALANDO Q USARIA CLOROQUINA CALA TUA BOCA SEU NOIA,0
"GENTE, OLHEM QUE BOAS NOTÍCIAS!! A soja pode salvar a economia brasileira! Que o povo dance nas ruas!   #Cloroquina na Saúde e #soja na Economia! Votei!!  #SojaBrasileira #agronegocio #Economia  #EduardoBolsonaroTemRazao #VirusChines #China #CloroquinaCura",Não trate como Tubaína quem te trata como Cloroquina.,0
"Olha o absurdo da ... A reportagem dá ênfase as ""desculpas"" desse bandido, , amenizando a MONSTRUOSIDADE que ele falou, logo depois coloca a fala do presidente  sobre a cloroquina na intenção de equiparar ao que o bandido falou... Vergonha! #CNNLixo",A vontade é mandar essas veia tudo enfiar a Cloroquina no cu,0
"Todo mundo já sabe o que vai acontecer, né? Na rede pública vai rolar #cloroquina a torto e a direito, quem morrer dos efeitos colaterais vai sair da lista de mortos pela #covid19 e entrar numa lista qualquer. Resumindo: vai continuar morrendo pobre e ninguém se importa.","Esse twitter tá uma loucura, gente com nude vazado, pessoas puxando # pra salvar a Bel, Lula e o corona vírus, Bolsonaro e a cloroquina, todo lugar tem uma discussão política, pqp",0
DENUNCIEM TUDO QUE ESSE GOVERNO INVENTAR DE MENTIRA SOBRE A CLOROQUINA. O TWITTER NÃO BORRA  PRA FAMIGLIA. ELES APAGAM MESMO.,Tiago só se fala em cloroquina porque na prática é o que está fazendo efeito #GrandeDebateCNN,0
"a galera tem que cair na real que o lance do governo não é o uso da cloroquina... é a venda... depois que comprar já era, foda-se o que vão fazer com a parada... milhões em jogo.",#JornalNacional Então o Brasil achou a CURA para o coronavirus Cloroquina + azitromicina +antipulgas.  Alguém avisa o mundo pra parar de gastar dinheiro pq aqui o presidente achou a CURA? E o ministro da economia disse que Todos querendo vida boa com 600 reais?,0
dei um espirro aqui acho melhor tomar essa cloroquina que pode me dar um ataque cardiaco pq vai que pode ser covid né,O Trump é um louco. Tomou Cloroquina sem consultar o Felipe Neto  #BrasilComBolsonaro,0
minha ex orientadora &gt;farmaceutica&lt; bolsominion de morrer defendendo o uso da cloroquina...................,"cloroquina, cloroquina, cloroquina tem no sus nao sei se funciona mas a gente deduz",0
"Boa noite pra quem é Tubaína, pra quem é cloroquina, boa sorte!","A cloroquina usada no começo do tratamento do vírus chinês, logo nos primeiros sintomas, é bem efetiva.  #EuApoioBolsonaro",0
"O governo vai liberar o uso da cloroquina dizendo que a população está clamando por isso. Gente, é INACREDITÁVEL.  Conheço bolsonaristas que defendem o uso mas tiveram covid19 e não usaram o remédio por medo. Ou seja, defende pra prejudicar mesmo.",O tanto de avô que trabalhou no garimpo e tomou cloroquina contra a malária não é brincadeira hein?,0
Trump diz que deve deixar de tomar cloroquina em 2 dias #Trump #cloroquina #Covid_19,"colega de trabalho da minha mãe ta com suspeita de covid. voltou no hospital hoje pq tava com dor no peito pra respirar e quiseram cobrar 250 reais pra ela fazer o exame e receitaram hidroxicloroquina pra ela  ENFIA A CLOROQUINA NO CU, PORRA",0
"O  divulga orientações para tratamento da Covid-19, onde a Cloroquina pode ser ministrada em casos leves, com recomendação médica e autorização do próprio paciente/família.","Nunca precisei assinar um documento depois de um médico me receitar qualquer medicamento, não parece estranho a vocês que devamos fazer isto com a cloroquina? Quer dizer, vamos tirar a responsabilidade do Presidente Jair Bolsonaro que tanto faz questão desse medicamento para nós?",1
